Ticker,Environmental,Social,Governance,Total
A UN Equity,7.1,8.1,6.1,7.1
AAL UW Equity,0,9,4.3,4.43
AAP UN Equity,6.4,4,5,5.13
AAPL UW Equity,0.8,7,0.6,2.8
ABBV UN Equity,5,8.1,8.1,7.07
ABC UN Equity,6.5,8.1,3.3,5.97
ABMD UW Equity,6.1,2.6,4,4.23
ABT UN Equity,4.5,9.5,9.9,7.97
ACN UN Equity,7.1,8.1,4.8,6.67
ADBE UW Equity,6.2,7,5,6.07
ADI UW Equity,5.8,9,2.8,5.87
ADM UN Equity,0,4,8.1,4.03
ADSK UW Equity,6.5,8.1,0.9,5.17
AEE UN Equity,3.9,0.2,4.6,2.9
AEP UW Equity,0.7,5.5,8,4.73
AFL UN Equity,5.9,2.6,5.1,4.53
AIG UN Equity,0,5.5,5.8,3.77
AIZ UN Equity,6.6,8.1,4.2,6.3
AJG UN Equity,6.2,5.5,5.2,5.63
AKAM UW Equity,5.9,8.1,6.9,6.97
ALB UN Equity,8,9,0.5,5.83
ALGN UW Equity,6.1,4,4.2,4.77
ALK UN Equity,4.8,4,2.5,3.77
ALLE UN Equity,6.8,7,6.6,6.8
AMAT UW Equity,6.3,9.5,3.6,6.47
AMCR UN Equity,5.5,8.1,4.1,5.9
AMD UW Equity,6.5,7,4.9,6.13
AME UN Equity,6.9,4,1.3,4.07
AMGN UW Equity,5.5,5.5,6.6,5.87
AMP UN Equity,5.7,0.4,4.5,3.53
AMT UN Equity,0.6,7,4.3,3.97
AMZN UW Equity,0,8.1,1.1,3.07
ANET UN Equity,7.2,4,2.2,4.47
ANSS UW Equity,5.8,5.5,2.7,4.67
ANTM UN Equity,8.2,4,6.9,6.37
AON UN Equity,6.3,7,5.6,6.3
AOS UN Equity,6.9,0.2,6.5,4.53
APA UW Equity,6.7,5.5,2.8,5
APD UN Equity,5.5,7,3.1,5.2
APH UN Equity,6.8,5.5,1.1,4.47
APTV UN Equity,6.2,5.5,3.3,5
ARE UN Equity,5.3,0.8,3.7,3.27
ATO UN Equity,5.9,0.8,4.2,3.63
ATVI UW Equity,6,7,2.7,5.23
AVB UN Equity,5.7,7,5.3,6
AVGO UW Equity,4.6,9,3.3,5.63
AVY UN Equity,5.9,8.1,6.7,6.9
AWK UN Equity,6.7,4,6.7,5.8
AXP UN Equity,5.3,4,9.9,6.4
AZO UN Equity,0.7,4,1.5,2.07
BA UN Equity,4.4,9,5.6,6.33
BAC UN Equity,3.7,8.1,9.9,7.23
BAX UN Equity,6.7,8.1,3.6,6.13
BBWI UN Equity,6.4,7,6.2,6.53
BBY UN Equity,5.9,4,8.1,6
BDX UN Equity,7.7,7,8.8,7.83
BEN UN Equity,5.6,0.8,1.6,2.67
BIIB UW Equity,6.1,8.1,8.8,7.67
BIO UN Equity,6.2,7,0.9,4.7
BK UN Equity,5.3,9,10,8.1
BKNG UW Equity,6.9,2.6,0.7,3.4
BKR UW Equity,7.1,5.5,5.9,6.17
BLK UN Equity,5.6,4,9.7,6.43
BMY UN Equity,6.4,4,8.9,6.43
BRK/B UN Equity,0,0,1,0.33
BRO UN Equity,5.8,1.5,5.6,4.3
BSX UN Equity,6.9,4,7.1,6
BWA UN Equity,6.3,8.1,7.2,7.2
BXP UN Equity,5,0.8,2.5,2.77
C UN Equity,4.2,7,10,7.07
CAH UN Equity,5.3,9,6.9,7.07
CARR UN Equity,7.2,4,1.7,4.3
CAT UN Equity,6.2,7,3.2,5.47
CB UN Equity,8.1,1.5,2,3.87
CBOE UF Equity,5.7,0.8,5.9,4.13
CBRE UN Equity,7.2,9.5,4,6.9
CCL UN Equity,3.6,7,9.6,6.73
CDAY UN Equity,6.4,4,3.4,4.6
CDNS UW Equity,6.4,8.1,2,5.5
CDW UW Equity,7.3,9,9.9,8.73
CE UN Equity,7.7,7,8.6,7.77
CERN UW Equity,6.1,7,1.1,4.73
CF UN Equity,2.4,7,5,4.8
CFG UN Equity,5.7,1.5,6.1,4.43
CHD UN Equity,6.2,8.1,3,5.77
CHRW UW Equity,6.7,4,5.7,5.47
CHTR UW Equity,6.7,0.4,7.5,4.87
CI UN Equity,6.9,8.1,5.5,6.83
CINF UW Equity,6.3,0.4,7.2,4.63
CL UN Equity,4.7,7,7.2,6.3
CMA UN Equity,5.6,4,5.3,4.97
CMCSA UW Equity,2.2,8.1,1.1,3.8
CME UW Equity,5.6,5.5,9.8,6.97
CMG UN Equity,6.5,1.5,4.1,4.03
CMI UN Equity,6.7,7,10,7.9
CMS UN Equity,4.8,4,5.6,4.8
CNC UN Equity,7.8,0.2,8.3,5.43
COO UN Equity,6,4,0.5,3.5
COP UN Equity,4.5,9,8.5,7.33
CPB UN Equity,4.6,5.5,5,5.03
CPRT UW Equity,6.7,0.4,1.1,2.73
CRL UN Equity,6,5.5,2.7,4.73
CRM UN Equity,6,9,6.8,7.27
CSCO UW Equity,7,7,4.4,6.13
CSX UW Equity,2.7,2.6,6.3,3.87
CTAS UW Equity,5.5,5.5,1.5,4.17
CTSH UW Equity,6.6,8.1,9.6,8.1
CTVA UN Equity,4.7,4,5.4,4.7
CTXS UW Equity,6.5,2.6,3.3,4.13
CVS UN Equity,4,5.5,8.1,5.87
CVX UN Equity,0.1,8.1,4.3,4.17
CZR UW Equity,6.3,0.1,6.7,4.37
D UN Equity,5.3,2.6,7.7,5.2
DAL UN Equity,0,8.1,6.7,4.93
DD UN Equity,7.5,4,8.6,6.7
DE UN Equity,6.4,5.5,2.1,4.67
DFS UN Equity,5.5,0.8,8.6,4.97
DG UN Equity,6.4,8.1,4.6,6.37
DGX UN Equity,5.6,7,7.9,6.83
DHI UN Equity,7.7,0.2,1.4,3.1
DHR UN Equity,5.7,4,3,4.23
DIS UN Equity,3.1,8.1,7.4,6.2
DISCA UW Equity,6.9,2.6,6,5.17
DISCK UW Equity,6.9,2.6,6,5.17
DISH UW Equity,7,1.5,0.7,3.07
DLR UN Equity,0.1,9,6.1,5.07
DLTR UW Equity,6.4,7,6.2,6.53
DOW UN Equity,0.4,5.5,5.4,3.77
DPZ UN Equity,6.6,9,2.2,5.93
DRE UN Equity,5.7,7,1.8,4.83
DRI UN Equity,6,4,2.2,4.07
DTE UN Equity,1.6,1.5,7.9,3.67
DUK UN Equity,0.2,5.5,7.2,4.3
DVA UN Equity,5.4,0.8,5,3.73
DVN UN Equity,6.9,5.5,7.6,6.67
DXC UN Equity,5.4,9,3.7,6.03
DXCM UW Equity,6,0.8,3.2,3.33
EA UW Equity,6.1,2.6,4.5,4.4
EBAY UW Equity,6.8,8.1,4.3,6.4
ECL UN Equity,7.9,9,8.7,8.53
ED UN Equity,9.1,1.5,3.7,4.77
EFX UN Equity,6.2,0.2,7.1,4.5
EIX UN Equity,7.4,2.6,6.2,5.4
EL UN Equity,6.1,7,10,7.7
EMN UN Equity,6.4,5.5,5.4,5.77
EMR UN Equity,6.6,8.1,6.6,7.1
ENPH UQ Equity,7.4,4,1.5,4.3
EOG UN Equity,5.8,4,7.1,5.63
EPAM UN Equity,#N/A,7,#N/A,#N/A
EQIX UW Equity,0.6,7,1.4,3
ES UN Equity,7.6,7,4.4,6.33
ESS UN Equity,5.8,5.5,1.9,4.4
ETN UN Equity,5.8,5.5,4.1,5.13
ETSY UW Equity,7.2,2.6,1.7,3.83
EVRG UN Equity,5.4,0.8,7.6,4.6
EW UN Equity,6.2,8.1,2.5,5.6
EXC UW Equity,10,2.6,7.3,6.63
EXPD UW Equity,7,4,1.2,4.07
EXPE UW Equity,6.8,2.6,3.1,4.17
EXR UN Equity,5.3,0.4,2,2.57
F UN Equity,1.3,9.5,10,6.93
FANG UW Equity,2.8,1.5,4.7,3
FAST UW Equity,6.6,2.6,1.5,3.57
FB UW Equity,3.7,2.6,3.9,3.4
FBHS UN Equity,6.5,5.5,5.7,5.9
FCX UN Equity,0.2,8.1,2.2,3.5
FDS UN Equity,#N/A,9,#N/A,#N/A
FE UN Equity,5,5.5,8.6,6.37
FFIV UW Equity,7.2,1.5,8.1,5.6
FIS UN Equity,6.2,8.1,6.1,6.8
FISV UW Equity,6.1,4,1,3.7
FITB UW Equity,6.3,5.5,9,6.93
FLT UN Equity,6.2,0.2,1,2.47
FMC UN Equity,8,4,2,4.67
FOX UW Equity,6.7,0.8,2.3,3.27
FOXA UW Equity,6.7,0.8,2.3,3.27
FRC UN Equity,5.6,0.8,9.2,5.2
FRT UN Equity,5.8,0.2,1.5,2.5
FTNT UW Equity,6.3,7,0.5,4.6
FTV UN Equity,7,8.1,3,6.03
GE UN Equity,1,9,6.5,5.5
GILD UW Equity,6.1,8.1,7.4,7.2
GL UN Equity,5.6,1.5,6.4,4.5
GLW UN Equity,1.8,8.1,10,6.63
GM UN Equity,3.6,9.5,7.5,6.87
GNRC UN Equity,6.6,0.4,2.1,3.03
GOOG UW Equity,0.1,7,0.7,2.6
GOOGL UW Equity,0.1,7,0.7,2.6
GPC UN Equity,6.6,4,1.1,3.9
GPN UN Equity,6.2,1.5,2,3.23
GPS UN Equity,6.3,5.5,8.2,6.67
GRMN UN Equity,6.6,9.5,0.2,5.43
GS UN Equity,5.1,8.1,9.3,7.5
GWW UN Equity,6.6,5.5,9.9,7.33
HAL UN Equity,6.7,8.1,3.5,6.1
HAS UW Equity,6.7,7,8.3,7.33
HBAN UW Equity,6.1,2.6,9.7,6.13
HCA UN Equity,5.3,0.8,6,4.03
HD UN Equity,4.4,4,7.4,5.27
HES UN Equity,6.6,4,3.8,4.8
HIG UN Equity,7.2,8.1,8,7.77
HII UN Equity,6.6,7,8.2,7.27
HLT UN Equity,4.2,7,4.9,5.37
HOLX UW Equity,6.1,8.1,4.4,6.2
HPE UN Equity,5.2,9.5,5.3,6.67
HPQ UN Equity,1,8.1,10,6.37
HSIC UW Equity,6.3,8.1,5.4,6.6
HST UW Equity,4.8,4,5.7,4.83
HSY UN Equity,5.6,8.1,5.2,6.3
HUM UN Equity,7.5,4,7.1,6.2
HWM UN Equity,5.5,4,6.2,5.23
IBM UN Equity,7.6,9.5,3.9,7
ICE UN Equity,5.6,5.5,5.9,5.67
IDXX UW Equity,6.1,7,2.3,5.13
IEX UN Equity,7,5.5,4.4,5.63
IFF UN Equity,8.2,9.5,3.3,7
ILMN UW Equity,6.1,9.5,4.9,6.83
INCY UW Equity,6.2,0.4,2.2,2.93
INFO UN Equity,6.2,5.5,7,6.23
INTC UW Equity,0,9.5,4.7,4.73
INTU UW Equity,6.8,7,7.1,6.97
IPG UN Equity,6.9,4,7.6,6.17
IPGP UW Equity,6.3,7,1.4,4.9
IQV UN Equity,6.1,9,1.2,5.43
IR UN Equity,7,9,1.6,5.87
IRM UN Equity,4.5,5.5,7.5,5.83
ISRG UW Equity,5.8,4,0.8,3.53
IT UN Equity,6.1,7,4.1,5.73
ITW UN Equity,6.4,8.1,2.4,5.63
IVZ UN Equity,5.7,1.5,8,5.07
J UN Equity,7.4,5.5,2.4,5.1
JBHT UW Equity,5.4,1.5,6.4,4.43
JCI UN Equity,4.8,7,3.4,5.07
JNJ UN Equity,3.1,4,7.4,4.83
JNPR UN Equity,7.1,9,2.4,6.17
JPM UN Equity,3,9,9.7,7.23
KEY UN Equity,6,5.5,8.8,6.77
KEYS UN Equity,7.1,8.1,4,6.4
KHC UW Equity,2.9,8.1,6.1,5.7
KMB UN Equity,0.8,9.5,7.5,5.93
KMI UN Equity,5.2,7,7.2,6.47
KMX UN Equity,7.3,0.4,1.6,3.1
KO UN Equity,2.7,4,9.1,5.27
LEN UN Equity,7.4,0.2,2,3.2
LH UN Equity,5.6,5.5,6.7,5.93
LHX UN Equity,6.3,8.1,2.2,5.53
LIN UN Equity,6.6,2.6,3.2,4.13
LKQ UW Equity,6.6,4,4.9,5.17
LLY UN Equity,4.4,8.1,9.3,7.27
LMT UN Equity,4.8,8.1,9.5,7.47
LNC UN Equity,5.7,4,1.3,3.67
LOW UN Equity,4.2,5.5,5.3,5
LUMN UN Equity,3.1,8.1,0.7,3.97
LUV UN Equity,0.4,5.5,2.8,2.9
LVS UN Equity,6,4,0.2,3.4
LYB UN Equity,0.2,4,3.3,2.5
LYV UN Equity,6.7,1.5,0.3,2.83
MA UN Equity,5.5,8.1,8.7,7.43
MAR UW Equity,1.1,5.5,6.9,4.5
MAS UN Equity,6.5,0.2,6.5,4.4
MCD UN Equity,5.6,4,5.7,5.1
MCO UN Equity,6.3,9,8.9,8.07
MDLZ UW Equity,4.7,4,8.2,5.63
MET UN Equity,5.7,4,6.9,5.53
MGM UN Equity,5.8,2.6,6.9,5.1
MKC UN Equity,6,0,2.6,2.87
MKTX UW Equity,6.2,2.6,4.8,4.53
MLM UN Equity,3.8,1.5,2.5,2.6
MMC UN Equity,6.2,8.1,5.9,6.73
MMM UN Equity,1.6,9,5.1,5.23
MNST UW Equity,6.2,8.1,0.2,4.83
MOS UN Equity,5.3,7,6.6,6.3
MPC UN Equity,3.1,7,5.7,5.27
MPWR UW Equity,6.5,1.5,1,3
MRK UN Equity,4.6,9.8,9.6,8
MRNA UW Equity,6.1,0.8,1.8,2.9
MS UN Equity,4.8,5.5,7.2,5.83
MSCI UN Equity,5.9,7,3,5.3
MSI UN Equity,7.1,7,4.1,6.07
MTB UN Equity,5.7,0.8,7.5,4.67
MTCH UW Equity,7.1,0,1.3,2.8
MTD UN Equity,7.1,8.1,0.6,5.27
MU UW Equity,0,9.8,3.2,4.33
NCLH UN Equity,5.7,8.1,0.3,4.7
NDAQ UW Equity,5.7,4,8.3,6
NEE UN Equity,9.8,5.5,5.9,7.07
NEM UN Equity,3.8,8.1,8.1,6.67
NFLX UW Equity,7.6,0.1,0.2,2.63
NI UN Equity,5,2.6,8.6,5.4
NLSN UN Equity,5.9,8.1,4.3,6.1
NOC UN Equity,6.3,9,9.9,8.4
NOW UN Equity,6.5,7,0.6,4.7
NRG UN Equity,0.6,4,4.2,2.93
NSC UN Equity,2.7,1.5,3.6,2.6
NTAP UW Equity,6.3,8.1,0.3,4.9
NTRS UW Equity,5.6,4,6.5,5.37
NUE UN Equity,2.3,5.5,2.6,3.47
NVDA UW Equity,6.5,8.1,7.6,7.4
NVR UN Equity,6.9,0.2,3.6,3.57
NWL UW Equity,6.6,4,5.6,5.4
NXPI UW Equity,3.7,9,2.6,5.1
O UN Equity,5.9,4,1.7,3.87
ODFL UW Equity,6.5,1.5,5.1,4.37
OMC UN Equity,7.1,1.5,6.8,5.13
ORLY UW Equity,6.6,0.4,5.9,4.3
OTIS UN Equity,6.9,5.5,2.6,5
OXY UN Equity,5.5,4,4.9,4.8
PAYC UN Equity,6.4,1.5,1.3,3.07
PAYX UW Equity,6.3,1.5,0.5,2.77
PBCT UW Equity,5.6,0.4,2.1,2.7
PCAR UW Equity,7.1,1.5,2.3,3.63
PEAK UN Equity,5.9,5.5,3.2,4.87
PEG UN Equity,5.9,2.6,1.7,3.4
PENN UW Equity,6.6,0,0.5,2.37
PEP UW Equity,0.1,9,6.5,5.2
PFE UN Equity,3.7,7,8.4,6.37
PFG UW Equity,5.8,8.1,7.7,7.2
PGR UN Equity,8.3,5.5,8.1,7.3
PHM UN Equity,7.1,0.8,4.2,4.03
PKG UN Equity,0.7,4,3.3,2.67
PLD UN Equity,6.1,4,3.3,4.47
PM UN Equity,6,7,9.9,7.63
PNC UN Equity,6.1,7,9.9,7.67
PNR UN Equity,7,7,4.8,6.27
PNW UN Equity,4.5,0.1,3.8,2.8
POOL UW Equity,6.6,4,1.3,3.97
PPG UN Equity,7.7,5.5,8.5,7.23
PPL UN Equity,4.8,7,3.7,5.17
PRU UN Equity,5.4,4,6.7,5.37
PSA UN Equity,9.6,2.6,7.5,6.57
PSX UN Equity,8.3,8.1,6.4,7.6
PVH UN Equity,6.6,7,5.2,6.27
PWR UN Equity,5.6,1.5,3.8,3.63
PXD UN Equity,4.4,5.5,7.8,5.9
PYPL UW Equity,6.1,8.1,5.8,6.67
QCOM UW Equity,6.5,8.1,5.3,6.63
QRVO UW Equity,5.6,4,3.5,4.37
RE UN Equity,6.4,0.4,4.6,3.8
REG UW Equity,5.7,5.5,3.8,5
REGN UW Equity,6.1,5.5,8.4,6.67
RF UN Equity,5.9,5.5,7.1,6.17
RHI UN Equity,6.1,5.5,1.8,4.47
RJF UN Equity,5.5,7,6.1,6.2
RL UN Equity,6.6,5.5,3.5,5.2
ROK UN Equity,7,8.1,3.1,6.07
ROL UN Equity,6.1,0.2,0.1,2.13
ROP UN Equity,6.4,5.5,3.5,5.13
RSG UN Equity,0.2,1.5,5.5,2.4
RTX UN Equity,6.8,5.5,5.5,5.93
SBNY UW Equity,#N/A,0.2,#N/A,#N/A
SBUX UW Equity,5.2,5.5,9.6,6.77
SCHW UN Equity,5.6,0.8,4.2,3.53
SEDG UW Equity,#N/A,5.5,#N/A,#N/A
SHW UN Equity,7.9,5.5,5,6.13
SIVB UW Equity,5.6,0.2,7.9,4.57
SLB UN Equity,7.2,9.5,8,8.23
SNA UN Equity,6.8,7,0.6,4.8
SNPS UW Equity,6.4,8.1,0.6,5.03
SO UN Equity,3,1.5,7.5,4
SPG UN Equity,5.5,4,0.4,3.3
SPGI UN Equity,6.4,8.1,6.6,7.03
SRE UN Equity,6.1,7,7.7,6.93
STE UN Equity,5.9,7,1.1,4.67
STT UN Equity,5.4,8.1,1.5,5
SWK UN Equity,6.6,5.5,4.5,5.53
SWKS UW Equity,5.5,5.5,1.1,4.03
SYF UN Equity,5.7,2.6,7.8,5.37
SYK UN Equity,5.8,2.6,5.7,4.7
T UN Equity,0.3,7,5.2,4.17
TAP UN Equity,4.5,8.1,5.3,5.97
TDG UN Equity,6.8,1.5,2.6,3.63
TDY UN Equity,6.9,4,6.1,5.67
TEL UN Equity,6.7,8.1,2.3,5.7
TER UW Equity,6.4,5.5,0.6,4.17
TFC UN Equity,4.3,4,9.6,5.97
TFX UN Equity,6,2.6,0.2,2.93
TJX UN Equity,5.7,7,5.1,5.93
TMO UN Equity,6,8.1,2,5.37
TMUS UW Equity,5.6,5.5,2.3,4.47
TRMB UW Equity,7.2,4,2.5,4.57
TROW UW Equity,5.7,2.6,7.1,5.13
TRV UN Equity,8,4,6.9,6.3
TSCO UW Equity,6.5,1.5,3.2,3.73
TSLA UW Equity,6.4,7,1.3,4.9
TSN UN Equity,0,7,3.8,3.6
TT UN Equity,6.1,9,5.4,6.83
TTWO UW Equity,6.1,4,1.3,3.8
TWTR UN Equity,7,4,2.3,4.43
TXN UW Equity,1,9.5,2.4,4.3
TXT UN Equity,5.9,7,1.6,4.83
TYL UN Equity,6.5,0.4,0.2,2.37
UA UN Equity,6.6,5.5,3,5.03
UAA UN Equity,6.6,5.5,3,5.03
UAL UW Equity,0,1.5,4.2,1.9
UHS UN Equity,5.8,0.2,1.1,2.37
ULTA UW Equity,6.6,0.4,6.4,4.47
UNH UN Equity,9.4,7,3.5,6.63
UNP UN Equity,0.1,2.6,3.8,2.17
UPS UN Equity,0,1.5,9.1,3.53
URI UN Equity,5.8,5.5,8.1,6.47
USB UN Equity,4.5,2.6,8.1,5.07
V UN Equity,5.5,8.1,8.8,7.47
VLO UN Equity,6.3,2.6,3,3.97
VNO UN Equity,5.1,5.5,4.3,4.97
VRSK UW Equity,6.3,7,1.5,4.93
VRSN UW Equity,7.1,0.8,0.7,2.87
VRTX UW Equity,6.2,8.1,4,6.1
VTR UN Equity,5.3,4,4,4.43
VTRS UW Equity,5.7,7,0.5,4.4
VZ UN Equity,1,4,8.3,4.43
WAT UN Equity,7.1,9.5,0.2,5.6
WBA UW Equity,4.4,8.1,8.7,7.07
WDC UW Equity,3.4,8.1,4.8,5.43
WEC UN Equity,2.7,4,3.3,3.33
WELL UN Equity,3.6,7,8.5,6.37
WFC UN Equity,9.1,9.5,8.9,9.17
WHR UN Equity,7,7,3.6,5.87
WLTW UW Equity,6.3,1.5,7.6,5.13
WM UN Equity,0.1,5.5,5.1,3.57
WMB UN Equity,6.3,2.6,6.5,5.13
WST UN Equity,7.2,7,1.4,5.2
WY UN Equity,0,4,4.8,2.93
WYNN UW Equity,6.5,1.5,7.5,5.17
XEL UW Equity,6.7,5.5,7.3,6.5
XLNX UW Equity,6.5,8.1,2.6,5.73
XOM UN Equity,0,0.8,5.6,2.13
XRAY UW Equity,6.2,9,3.6,6.27
XYL UN Equity,7.1,8.1,6.5,7.23
YUM UN Equity,9.6,5.5,2,5.7
ZBH UN Equity,6,7,8.3,7.1
ZBRA UW Equity,6.1,4,4.7,4.93
ZION UW Equity,5.6,0.8,5.6,4
